gen,best_train_mse,mean_train_mse,val_mse,sigma,diversity
276,0.005896914614,0.08077863806,0.003717083418,0.1169108409,0.2436789854
277,0.005896914614,0.07652294635,0.003717083418,0.1168053199,0.2524235054
278,0.005896914614,0.09974919226,0.003717083418,0.1166998941,0.2584075932
279,0.005896914614,0.1138710995,0.003717083418,0.1165945635,0.266784888
280,0.005896914614,0.09567667056,0.003717083418,0.116489328,0.2723578238
281,0.005896914614,0.09588838782,0.003717083418,0.1163841874,0.2741850259
282,0.005896914614,0.09671354835,0.003717083418,0.1162791417,0.2782037654
283,0.005896914614,0.1271775184,0.003717083418,0.1161741909,0.2867170678
284,0.005896914614,0.0969170591,0.003717083418,0.1160693347,0.28425601
285,0.005896914614,0.1095621909,0.003717083418,0.1159645733,0.2890802191
286,0.005896914614,0.1144237663,0.003717083418,0.1158599063,0.3011906016
287,0.005896914614,0.1119667982,0.003717083418,0.1157553339,0.3076509015
288,0.005896914614,0.1195792648,0.003717083418,0.1156508558,0.3099027292
289,0.005896914614,0.1215094574,0.003717083418,0.115546472,0.3124899154
290,0.005896914614,0.1125973976,0.003717083418,0.1154421824,0.3095845062
291,0.005896914614,0.1023935402,0.003717083418,0.115337987,0.3092526644
292,0.005896914614,0.1273233435,0.003717083418,0.1152338856,0.3123257644
293,0.005896914614,0.1073126146,0.003717083418,0.1151298781,0.3018178866
294,0.005896914614,0.09815617755,0.003717083418,0.1150259646,0.291315028
295,0.005896914614,0.09883860134,0.003717083418,0.1149221448,0.2867154582
296,0.005896914614,0.09852905028,0.003717083418,0.1148184188,0.2881866068
297,0.005896914614,0.09553057011,0.003717083418,0.1147147863,0.2924184624
298,0.005896914614,0.0922807604,0.003717083418,0.1146112474,0.2988614791
299,0.005896914614,0.09092653639,0.003717083418,0.1145078019,0.3074775365
300,0.005896914614,0.09015934125,0.003717083418,0.1144044499,0.3002039068
301,0.005896914614,0.09805233027,0.003717083418,0.1143011911,0.302100211
302,0.005896914614,0.08944995041,0.003717083418,0.1141980254,0.2832435169
303,0.005896914614,0.1076000386,0.003717083418,0.114094953,0.2785169604
304,0.005896914614,0.09233492616,0.003717083418,0.1139919735,0.2819064605
305,0.005896914614,0.08904730308,0.003717083418,0.113889087,0.2810603926
306,0.005896914614,0.09209829601,0.003717083418,0.1137862933,0.2805868881
307,0.005896914614,0.08244857115,0.003717083418,0.1136835925,0.2630197936
308,0.005896914614,0.06955484864,0.003717083418,0.1135809843,0.2527983659
309,0.005896914614,0.07731163289,0.003717083418,0.1134784687,0.2452228631
310,0.005896914614,0.06121049368,0.003717083418,0.1133760457,0.2217676949
311,0.005896914614,0.07021640145,0.003717083418,0.1132737151,0.2249566814
312,0.005896914614,0.06316584974,0.003717083418,0.1131714769,0.2184396444
313,0.005896914614,0.06401709747,0.003717083418,0.1130693309,0.2204641136
314,0.005896914614,0.07417339355,0.003717083418,0.1129672771,0.2208422119
315,0.005896914614,0.06266678337,0.003717083418,0.1128653155,0.228824473
316,0.005896914614,0.08089269475,0.003717083418,0.1127634459,0.2339790225
317,0.005896914614,0.08399296918,0.003717083418,0.1126616682,0.2444073967
318,0.005896914614,0.07661196283,0.003717083418,0.1125599824,0.2452247476
319,0.005896914614,0.0714507557,0.003717083418,0.1124583884,0.2445885771
320,0.005896914614,0.08801988034,0.003717083418,0.112356886,0.2469730679
321,0.005896914614,0.08841634942,0.003717083418,0.1122554753,0.237608226
322,0.00588926557,0.09301271931,0.003521759257,0.1121541561,0.2321338666
323,0.00588926557,0.09237208265,0.003521759257,0.1120529284,0.236955608
324,0.00588926557,0.09013218734,0.003521759257,0.111951792,0.2386275326
325,0.00588926557,0.08875542684,0.003521759257,0.1118507469,0.2406011947
326,0.00588926557,0.1083500779,0.003521759257,0.111749793,0.2397699116
327,0.00588926557,0.10426791,0.003521759257,0.1116489302,0.2439994072
328,0.00588926557,0.09755297543,0.003521759257,0.1115481585,0.2500062893
329,0.00588926557,0.1062846824,0.003521759257,0.1114474777,0.2542364898
330,0.005799142925,0.09368653811,0.003666093746,0.1113468878,0.2547788069
331,0.005799142925,0.1056034346,0.003666093746,0.1112463887,0.2507408897
332,0.005799142925,0.08814903693,0.003666093746,0.1111459803,0.2503274649
333,0.005799142925,0.08602232476,0.003666093746,0.1110456625,0.2500088908
334,0.005799142925,0.08721499075,0.003666093746,0.1109454352,0.2488569037
335,0.005799142925,0.08009655991,0.003666093746,0.1108452985,0.2521947457
336,0.005572957186,0.09208692243,0.003692508904,0.1107452521,0.2507328188
337,0.005572957186,0.08963383272,0.003692508904,0.110645296,0.2515711852
338,0.005572957186,0.08978945484,0.003692508904,0.1105454301,0.2488875749
339,0.005572957186,0.08005780555,0.003692508904,0.1104456543,0.24371742
340,0.005572957186,0.08151066197,0.003692508904,0.1103459687,0.234547204
341,0.005572957186,0.0884064244,0.003692508904,0.1102463729,0.235453896
342,0.005572957186,0.08612391652,0.003692508904,0.1101468671,0.2428158476
343,0.005572957186,0.0945447101,0.003692508904,0.1100474511,0.2500387676
344,0.005572957186,0.09345748351,0.003692508904,0.1099481248,0.2492225357
345,0.005572957186,0.09006694311,0.003692508904,0.1098488882,0.2570394603
346,0.005572957186,0.08958147571,0.003692508904,0.1097497411,0.2547537758
347,0.005572957186,0.09139818149,0.003692508904,0.1096506836,0.2541332204
348,0.005572957186,0.08144249685,0.003692508904,0.1095517154,0.259808887
349,0.005572957186,0.08358207375,0.003692508904,0.1094528366,0.268771534
350,0.005572957186,0.09382133393,0.003692508904,0.109354047,0.2720359021
351,0.005572957186,0.09243569881,0.003692508904,0.1092553465,0.2780146142
352,0.005572957186,0.1013349975,0.003692508904,0.1091567352,0.2805712024
353,0.005572957186,0.08629363195,0.003692508904,0.1090582129,0.2757514905
354,0.005572957186,0.09581614402,0.003692508904,0.1089597794,0.2885864719
355,0.005572957186,0.09555139469,0.003692508904,0.1088614349,0.2930351348
356,0.005572957186,0.1114761403,0.003692508904,0.1087631791,0.304067501
357,0.005572957186,0.1034462605,0.003692508904,0.1086650119,0.3109137955
358,0.005572957186,0.09813624526,0.003692508904,0.1085669334,0.3122108866
359,0.005572957186,0.1095267354,0.003692508904,0.1084689434,0.3137525026
360,0.005156896755,0.1093060689,0.003031278478,0.1083710419,0.3217095986
361,0.005156896755,0.1062982735,0.003031278478,0.1082732287,0.3223960957
362,0.005156896755,0.1046564961,0.003031278478,0.1081755038,0.3195027419
363,0.005156896755,0.111524459,0.003031278478,0.1080778671,0.3181375065
364,0.005156896755,0.1265544825,0.003031278478,0.1079803185,0.3260164199
365,0.005156896755,0.1033635352,0.003031278478,0.107882858,0.3325681175
366,0.005156896755,0.1025405919,0.003031278478,0.1077854854,0.3304063637
367,0.005156896755,0.1171322649,0.003031278478,0.1076882007,0.3338239965
368,0.005156896755,0.1018940905,0.003031278478,0.1075910038,0.3315256314
369,0.005156896755,0.1054358277,0.003031278478,0.1074938947,0.3324178815
370,0.005156896755,0.1166340308,0.003031278478,0.1073968732,0.3263543748
371,0.005156896755,0.1048557943,0.003031278478,0.1072999393,0.3173686357
372,0.005156896755,0.09890124373,0.003031278478,0.1072030928,0.3137523305
373,0.005156896755,0.1121652309,0.003031278478,0.1071063338,0.3063690943
374,0.005156896755,0.08980899277,0.003031278478,0.1070096621,0.2901376009
375,0.005156896755,0.08482291943,0.003031278478,0.1069130777,0.2861828126
376,0.005156896755,0.07261369651,0.003031278478,0.1068165804,0.2672581722
