gen,best_train_mse,mean_train_mse,val_mse,sigma,diversity
199,0.01123138413,1.095614329,0.009861283383,0.1253288897,1.191955813
200,0.01123138413,1.044999735,0.009861283383,0.1252157707,1.181011293
201,0.01123138413,1.019867515,0.009861283383,0.1251027539,1.168509944
202,0.01123138413,0.980660501,0.009861283383,0.124989839,1.128775272
203,0.01123138413,0.8466069109,0.009861283383,0.1248770261,1.164736939
204,0.01123138413,1.004745574,0.009861283383,0.124764315,1.13914507
205,0.01123138413,1.17095135,0.009861283383,0.1246517056,1.115349592
206,0.01123138413,1.045887478,0.009861283383,0.1245391979,1.095784346
207,0.01123138413,0.8636111032,0.009861283383,0.1244267917,1.091261801
208,0.01123138413,1.00374855,0.009861283383,0.1243144869,1.090134104
209,0.01123138413,0.8976650086,0.009861283383,0.1242022836,1.058863356
210,0.01123138413,1.118718276,0.009861283383,0.1240901815,1.055433037
211,0.01123138413,0.9151597816,0.009861283383,0.1239781805,1.073514215
212,0.01123138413,0.8078328661,0.009861283383,0.1238662807,1.062742403
213,0.01123138413,0.7501950398,0.009861283383,0.1237544819,1.083729364
214,0.01123138413,0.9334512688,0.009861283383,0.1236427839,1.057834563
215,0.01123138413,0.9050027759,0.009861283383,0.1235311868,1.057454969
216,0.01123138413,0.8396348535,0.009861283383,0.1234196904,1.065055928
217,0.01123138413,0.8266844657,0.009861283383,0.1233082947,1.063790736
218,0.01123138413,0.6862189168,0.009861283383,0.1231969995,1.032412405
219,0.01123138413,0.8140685004,0.009861283383,0.1230858047,1.020402178
220,0.01123138413,0.930937385,0.009861283383,0.1229747103,1.017103722
221,0.01123138413,0.8090135575,0.009861283383,0.1228637162,1.031317954
222,0.01123138413,0.8227863808,0.009861283383,0.1227528223,1.031024323
223,0.01123138413,0.72507907,0.009861283383,0.1226420284,1.038304576
224,0.01123138413,1.069068816,0.009861283383,0.1225313346,1.031568385
225,0.01123138413,0.8171834974,0.009861283383,0.1224207406,1.020179533
226,0.01123138413,1.011043008,0.009861283383,0.1223102465,1.026588555
227,0.01123138413,0.7155348961,0.009861283383,0.1221998521,1.041825071
228,0.01123138413,0.752604849,0.009861283383,0.1220895573,1.064461302
229,0.01123138413,0.8821454151,0.009861283383,0.1219793621,1.051742265
230,0.01123138413,0.7056668973,0.009861283383,0.1218692664,1.061124574
231,0.01123138413,0.7135932443,0.009861283383,0.12175927,1.082129889
232,0.01123138413,0.7135925286,0.009861283383,0.1216493729,1.068867985
233,0.01078901046,1.006263617,0.00789210029,0.121539575,1.045641
234,0.01078901046,0.6053840315,0.00789210029,0.1214298762,0.9967019312
235,0.01078901046,0.5550643133,0.00789210029,0.1213202764,0.949525244
236,0.009581901754,0.5650767158,0.00705022701,0.1212107755,0.9100335668
237,0.009581901754,0.6644501301,0.00705022701,0.1211013735,0.8839815895
238,0.009581901754,0.5725192035,0.00705022701,0.1209920702,0.8777247778
239,0.009581901754,0.7341936951,0.00705022701,0.1208828656,0.8612193464
240,0.009581901754,0.447584595,0.00705022701,0.1207737595,0.8145577354
241,0.009581901754,0.6258149743,0.00705022701,0.1206647519,0.817775066
242,0.009581901754,0.694855679,0.00705022701,0.1205558427,0.8498167225
243,0.009581901754,0.6817244575,0.00705022701,0.1204470318,0.8690957731
244,0.009581901754,0.7019226892,0.00705022701,0.1203383191,0.9045334711
245,0.009581901754,0.6534844733,0.00705022701,0.1202297045,0.921391458
246,0.009581901754,0.679762493,0.00705022701,0.120121188,0.904140639
247,0.009581901754,0.6643200613,0.00705022701,0.1200127694,0.9010780432
248,0.009581901754,0.5637990329,0.00705022701,0.1199044486,0.8879389998
249,0.009581901754,0.6137029983,0.00705022701,0.1197962256,0.8797748578
250,0.009581901754,0.5563626364,0.00705022701,0.1196881003,0.8765174893
251,0.009581901754,0.6321944682,0.00705022701,0.1195800726,0.8792221675
252,0.009581901754,0.6744822755,0.00705022701,0.1194721424,0.907559123
253,0.009581901754,0.7441983026,0.00705022701,0.1193643096,0.9180212226
254,0.009581901754,0.6958766812,0.00705022701,0.1192565742,0.9344524803
255,0.009581901754,0.9073201519,0.00705022701,0.119148936,0.9561797877
256,0.009581901754,0.7770771029,0.00705022701,0.1190413949,0.9610295105
257,0.009581901754,0.7027891289,0.00705022701,0.1189339509,0.9324617533
258,0.009581901754,0.6905132778,0.00705022701,0.1188266039,0.9472372687
259,0.009581901754,0.6929525705,0.00705022701,0.1187193537,0.9310933876
260,0.009581901754,0.512026945,0.00705022701,0.1186122004,0.9347002112
261,0.009581901754,0.8632790972,0.00705022701,0.1185051438,0.9325572355
262,0.009581901754,0.8705027651,0.00705022701,0.1183981838,0.9596188571
263,0.009581901754,1.029894304,0.00705022701,0.1182913203,0.9492572573
264,0.009581901754,0.8152653659,0.00705022701,0.1181845533,0.9606963997
265,0.009581901754,0.9201772654,0.00705022701,0.1180778827,0.9582223112
266,0.009581901754,0.72970719,0.00705022701,0.1179713083,0.9344522289
267,0.009581901754,0.5605979772,0.00705022701,0.1178648301,0.9259921125
268,0.009581901754,0.5642337279,0.00705022701,0.1177584481,0.9222956629
269,0.009581901754,0.6150925029,0.00705022701,0.117652162,0.9122167842
270,0.009581901754,0.5640747071,0.00705022701,0.1175459719,0.9064352248
271,0.009581901754,0.5882424438,0.00705022701,0.1174398776,0.8934663332
272,0.009581901754,0.6005473932,0.00705022701,0.1173338791,0.9031029096
273,0.009581901754,0.5895896577,0.00705022701,0.1172279763,0.9014241779
274,0.009581901754,0.6851727035,0.00705022701,0.117122169,0.9147051368
275,0.009581901754,0.7431963179,0.00705022701,0.1170164573,0.8974135179
276,0.009581901754,0.7125303047,0.00705022701,0.1169108409,0.8720318918
277,0.009581901754,0.5417630627,0.00705022701,0.1168053199,0.8690231939
278,0.009581901754,0.6391176771,0.00705022701,0.1166998941,0.8914196856
279,0.009581901754,0.665653864,0.00705022701,0.1165945635,0.9118251743
280,0.009581901754,0.796933638,0.00705022701,0.116489328,0.9326133354
281,0.009581901754,0.8186190713,0.00705022701,0.1163841874,0.9551293171
